seed,candidate,n,score,max_jaccard,closest_by_jaccard,max_overlap_fraction,closest_by_overlap,ora_significant,best_ora_p_adj,novel
12,C1,17,0.9959946870803833,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
12,C2,11,0.9875195026397705,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
12,C3,14,0.9960980415344238,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
12,C4,9,0.0005510371411219239,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
13,C1,17,0.9875900745391846,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
13,C2,11,0.9758254289627075,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
13,C3,14,0.9976697564125061,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
13,C4,9,0.0005750198615714908,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
14,C1,17,0.9768392443656921,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
14,C2,11,0.9919845461845398,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
14,C3,14,0.9849709868431091,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
14,C4,9,0.0008861374808475375,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
15,C1,17,0.881896436214447,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
15,C2,11,0.9787998199462891,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
15,C3,14,0.9980183839797974,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
15,C4,9,0.0026366161182522774,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
16,C1,17,0.9851554036140442,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
16,C2,11,0.9900587201118469,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
16,C3,14,0.9874711632728577,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
16,C4,9,0.0021802689880132675,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
17,C1,17,0.9902984499931335,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
17,C2,11,0.8772543668746948,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
17,C3,14,0.997557520866394,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
17,C4,9,0.0004785987257491797,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
18,C1,17,0.9727046489715576,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
18,C2,11,0.9033189415931702,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
18,C3,14,0.9948987364768982,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
18,C4,9,0.0011944035068154335,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
19,C1,17,0.9940574169158936,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
19,C2,11,0.9765570163726807,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
19,C3,14,0.9953683614730835,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
19,C4,9,0.001000449643470347,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
20,C1,17,0.9908109903335571,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
20,C2,11,0.9070349335670471,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
20,C3,14,0.9899269342422485,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
20,C4,9,0.000511200400069356,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
