model,n_runs,cv_auroc_mean_mean,cv_auroc_mean_sd,cv_auroc_mean_se,cv_auroc_mean_min,cv_auroc_mean_max,cv_auprc_mean_mean,cv_auprc_mean_sd,cv_auprc_mean_se,cv_auprc_mean_min,cv_auprc_mean_max,test_auroc_mean,test_auroc_sd,test_auroc_se,test_auroc_min,test_auroc_max,test_auprc_mean,test_auprc_sd,test_auprc_se,test_auprc_min,test_auprc_max,test_f1_mean,test_f1_sd,test_f1_se,test_f1_min,test_f1_max,test_precision_mean,test_precision_sd,test_precision_se,test_precision_min,test_precision_max,test_recall_mean,test_recall_sd,test_recall_se,test_recall_min,test_recall_max,n_go_selected_mean,n_go_selected_sd,n_go_selected_se,n_go_selected_min,n_go_selected_max,D_mean,D_sd,D_se,D_min,D_max
XGBoost,20,0.953338347976354,0.00519489578443557,0.0011616140110025028,0.9416457378247293,0.9634721138681932,0.9049376719273434,0.013213432381812757,0.002954613302183028,0.8782226203710565,0.9273979881768356,0.9552297668038408,0.010248086185094069,0.0022915417349146827,0.9334705075445816,0.9717935528120714,0.9089192080104095,0.02413708996954322,0.005397217395092697,0.8468830992688814,0.9395967749217334,0.8387383190534458,0.023469215394842924,0.005247876100145334,0.7929515418502202,0.8918918918918919,0.8165117184763444,0.02912892927919668,0.006513426598006773,0.7563025210084033,0.868421052631579,0.8629629629629629,0.02921864084171873,0.006533486713223475,0.7962962962962963,0.9166666666666666,106.6,38.95260277770787,8.710066771150192,54.0,157.0,112.6,38.95260277770787,8.710066771150192,60.0,163.0
Random Forest,20,0.9426264396293271,0.005823252605201329,0.0013021188675382918,0.9328927530657528,0.9577445152319504,0.879416625278326,0.01519663198067727,0.0033980702137841644,0.8554662267121712,0.9142505350475054,0.9450167181069957,0.011960190096096042,0.002674379807869049,0.9190672153635117,0.9646347736625513,0.8864683882156548,0.029367082809055485,0.006566679346191354,0.8245859093527159,0.9394727765784519,0.8237832607248341,0.020161121188260876,0.004508163747956265,0.7931034482758621,0.8672566371681416,0.7930182790764604,0.02670254331721588,0.005970870202942744,0.7419354838709677,0.831858407079646,0.8578703703703704,0.027248863122654298,0.00609303102518422,0.7962962962962963,0.9074074074074074,106.6,38.95260277770787,8.710066771150192,54.0,157.0,112.6,38.95260277770787,8.710066771150192,60.0,163.0
Logistic Regression,20,0.9084719793786397,0.011433503970243144,0.00255660920984774,0.8861056629561527,0.9307923994061079,0.841307697152821,0.018639653191841903,0.004167953161397942,0.8052664213232184,0.8760221852784161,0.917843364197531,0.021377863009877488,0.004780235490376432,0.8781292866941015,0.9453017832647462,0.8556027841486881,0.03383130356629247,0.007564909454166102,0.7856652601220432,0.9023775120717298,0.7808776470306416,0.03339929868811089,0.007468310226743549,0.72,0.8311688311688312,0.7353792989492003,0.0350794695824229,0.007844007860093375,0.688,0.7982456140350878,0.8333333333333333,0.04184227667381224,0.009356217497599796,0.75,0.8981481481481481,106.6,38.95260277770787,8.710066771150192,54.0,157.0,112.6,38.95260277770787,8.710066771150192,60.0,163.0
