family,n_heldout_pathways,n_test_negatives,n_train_pathways,n_go_selected,D,median_size,median_jaccard,test_auroc,test_auprc,f1,precision,recall,positive_score_median,negative_score_median
Carbohydrate metabolism,31,62,508,42,48,30.0,0.1422329545679787,0.9942767950052029,0.9876193006309801,0.9538461538461539,0.9117647058823529,1.0,0.9703410267829895,0.018410244956612587
Amino acid metabolism,60,120,479,42,48,18.0,0.17508781169962223,0.98875,0.9790435757102466,0.9206349206349206,0.8787878787878788,0.9666666666666667,0.9812811613082886,0.026009157299995422
Signalling/regulatory,13,26,526,39,45,27.0,0.14660421729110715,0.985207100591716,0.975983292725374,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.9644036889076233,0.023477088660001755
Specialized/other biosynthesis,160,216,379,38,44,12.0,0.2174034314281567,0.9834201388888889,0.9722533829502387,0.9292307692307692,0.9151515151515152,0.94375,0.9469504356384277,0.024091586470603943
Lipid metabolism,50,100,489,45,51,14.0,0.17369989535918293,0.9828,0.9636395154551043,0.9215686274509803,0.9038461538461539,0.94,0.9449281096458435,0.02696557156741619
Other KEGG/cellular,58,116,481,38,44,62.0,0.131898948943775,0.978448275862069,0.9531397361488749,0.9,0.8709677419354839,0.9310344827586207,0.9191995859146118,0.027245663106441498
Other AraCyc,47,94,492,39,45,12.0,0.21656505715047789,0.9775916704391128,0.9675612524322232,0.8910891089108911,0.8333333333333334,0.9574468085106383,0.9742898344993591,0.02175307273864746
Cofactor/vitamin metabolism,29,58,510,45,51,15.0,0.13768938189106258,0.971462544589774,0.9255314442232843,0.8666666666666667,0.8387096774193549,0.896551724137931,0.9486567378044128,0.02262042462825775
Degradation/catabolism,76,152,463,46,52,11.0,0.1655613400098443,0.9697022160664819,0.9427047722242334,0.8859060402684564,0.9041095890410958,0.868421052631579,0.9628703594207764,0.020050233229994774
Energy metabolism,15,30,524,44,50,39.0,0.13895850299384843,0.9688888888888889,0.9419057307215202,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9467389583587646,0.03071143850684166
