seed,comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,positive_score_median,negative_score_median,negative_score_iqr,positive_size_median,negative_size_median,negative_size_iqr
42,All mixed negatives,108,216,0.5164394718792866,0.3472800612450531,0.37037037037037035,0.3333333333333333,0.4166666666666667,0.4840080738067627,0.47094786167144775,0.433-0.535,14.5,12.0,9.0-25.0
42,empirical size matched random,108,54,0.5284636488340192,0.6833616828862202,0.5084745762711864,0.6521739130434783,0.4166666666666667,0.4840080738067627,0.4754610061645508,0.425-0.526,14.5,14.0,9.0-24.5
42,full replacement shuffled,108,54,0.3996056241426612,0.6044253034703164,0.4945054945054945,0.6081081081081081,0.4166666666666667,0.4840080738067627,0.5018398761749268,0.466-0.650,14.5,19.0,12.0-29.0
42,corrupted pathway,108,54,0.532235939643347,0.706871060160714,0.5172413793103449,0.6818181818181818,0.4166666666666667,0.4840080738067627,0.47049468755722046,0.433-0.526,14.5,12.0,8.0-19.5
42,cross pathway mixture,108,54,0.6054526748971193,0.753347412046321,0.5325443786982249,0.7377049180327869,0.4166666666666667,0.4840080738067627,0.46560364961624146,0.433-0.504,14.5,10.0,8.0-14.8
