comparison,n_positive,n_negative,test_auroc,test_auprc,negative_score_median,negative_score_iqr
All mixed negatives,108,216,0.9480024005486969,0.8924071220796562,0.023097556084394455,0.004-0.179
jaccard matched,108,48,0.9965277777777778,0.998513085170194,0.002177343238145113,0.001-0.010
co annotation,108,48,0.9789737654320989,0.9895284426478579,0.006396161392331123,0.002-0.041
chimera,108,66,0.8764029180695848,0.9110495196859701,0.21733888983726501,0.071-0.565
shuffled,108,54,0.9648491083676269,0.9817771474677176,0.02370067685842514,0.007-0.137
