comparison,n_runs,n_positive_mean,n_negative_mean,seed42_auroc,seed42_auprc,seed42_f1,seed42_negative_size_median,test_auroc_mean,test_auroc_sd,test_auroc_se,test_auroc_min,test_auroc_max,test_auprc_mean,test_auprc_sd,test_auprc_se,test_auprc_min,test_auprc_max,test_f1_mean,test_f1_sd,test_f1_se,test_f1_min,test_f1_max,test_precision_mean,test_precision_sd,test_precision_se,test_precision_min,test_precision_max,test_recall_mean,test_recall_sd,test_recall_se,test_recall_min,test_recall_max,positive_score_median_mean,positive_score_median_sd,positive_score_median_se,positive_score_median_min,positive_score_median_max,negative_score_median_mean,negative_score_median_sd,negative_score_median_se,negative_score_median_min,negative_score_median_max,positive_size_median_mean,positive_size_median_sd,positive_size_median_se,positive_size_median_min,positive_size_median_max,negative_size_median_mean,negative_size_median_sd,negative_size_median_se,negative_size_median_min,negative_size_median_max
All mixed negatives,20,108.0,216.0,0.5164394718792866,0.3472800612450531,0.37037037037037035,12.0,0.5280531978737998,0.01567893204243768,0.003505915786149027,0.500943072702332,0.5588991769547325,0.35990048643666206,0.015670573930023104,0.0035040468553967693,0.33732249325246705,0.386895661638548,0.39779906779620766,0.02397543350574509,0.005361069910887211,0.35071090047393366,0.4426877470355731,0.3549186272950758,0.01703742061613842,0.0038096830658941854,0.3246753246753247,0.38620689655172413,0.4601851851851853,0.0748075286437159,0.016727471927611138,0.3425925925925926,0.6944444444444444,0.4924957737326622,0.012052289193399455,0.002694973792092729,0.47060105204582214,0.5251401662826538,0.4833024799823761,0.015846108028441518,0.0035432974730400402,0.4522758424282074,0.5251052379608154,15.65,1.6471666262818836,0.36831765466352834,13.0,19.5,12.975,1.3999530067300945,0.31303900883537117,11.0,16.0
empirical size matched random,20,108.0,54.0,0.5284636488340192,0.6833616828862202,0.5084745762711864,14.0,0.49439300411522635,0.04060496974205956,0.009079547256756727,0.43244170096021944,0.5685871056241427,0.6633526861130317,0.02950256126334863,0.006596973249519961,0.6174709735244375,0.7147349463291822,0.539599879586622,0.04829197946462543,0.010798414885092636,0.4539877300613497,0.6787330316742082,0.6625465517694606,0.027748112721782018,0.00620466662932313,0.6216216216216216,0.7288135593220338,0.4601851851851853,0.0748075286437159,0.016727471927611138,0.3425925925925926,0.6944444444444444,0.4924957737326622,0.012052289193399455,0.002694973792092729,0.47060105204582214,0.5251401662826538,0.4918837696313858,0.020898207487006576,0.004672981254884175,0.44733545184135437,0.5281319618225098,15.65,1.6471666262818836,0.36831765466352834,13.0,19.5,16.0,3.8661826678330438,0.8645047258706176,10.5,27.5
full replacement shuffled,20,108.0,54.0,0.3996056241426612,0.6044253034703164,0.4945054945054945,19.0,0.5189386145404665,0.04585109620291799,0.01025261679526071,0.44332990397805205,0.6097393689986282,0.683378079698967,0.03379247304914212,0.007556226686571136,0.6318133052390938,0.7473685167538403,0.5453886586169571,0.05498110517858961,0.012294148865739207,0.44047619047619047,0.6880733944954128,0.6773813673309526,0.03749352648818676,0.008383807394377456,0.6166666666666667,0.7540983606557377,0.4601851851851853,0.0748075286437159,0.016727471927611138,0.3425925925925926,0.6944444444444444,0.4924957737326622,0.012052289193399455,0.002694973792092729,0.47060105204582214,0.5251401662826538,0.48488774597644807,0.0198678830280372,0.004442593701970554,0.44034382700920105,0.524627685546875,15.65,1.6471666262818836,0.36831765466352834,13.0,19.5,15.075,2.6120923252805355,0.5840816002832769,11.0,20.0
corrupted pathway,20,108.0,54.0,0.532235939643347,0.706871060160714,0.5172413793103449,12.0,0.5006772976680384,0.04304294691659767,0.009624695525742737,0.4145233196159122,0.5734739368998628,0.6741517055267109,0.025401268229370968,0.00567989624755792,0.6358215796634459,0.7218360719088844,0.5419155156872816,0.04845230744421159,0.01083426531119762,0.45121951219512196,0.6578947368421053,0.6691728691790747,0.02889269659097411,0.006460603363069454,0.625,0.7142857142857143,0.4601851851851853,0.0748075286437159,0.016727471927611138,0.3425925925925926,0.6944444444444444,0.4924957737326622,0.012052289193399455,0.002694973792092729,0.47060105204582214,0.5251401662826538,0.48851325213909147,0.015457205162357225,0.0034563361485191427,0.45574715733528137,0.5310888290405273,15.65,1.6471666262818836,0.36831765466352834,13.0,19.5,15.275,2.397778577196643,0.5361595893604421,12.5,22.0
cross pathway mixture,20,108.0,54.0,0.6054526748971193,0.753347412046321,0.5325443786982249,10.0,0.5982038751714678,0.03749789806519885,0.008384784908714246,0.5299211248285323,0.6658950617283951,0.765960502369053,0.030328957192115476,0.006781760996825135,0.7151464970329569,0.809478192595427,0.5655176197614447,0.04332829594929009,0.009688501509184141,0.4900662251655629,0.6787330316742082,0.7545992122308223,0.0647948535562136,0.01448856971438376,0.6506024096385542,0.88,0.4601851851851853,0.0748075286437159,0.016727471927611138,0.3425925925925926,0.6944444444444444,0.4924957737326622,0.012052289193399455,0.002694973792092729,0.47060105204582214,0.5251401662826538,0.470259054005146,0.019509842981688952,0.004362533513740368,0.45107394456863403,0.5241501927375793,15.65,1.6471666262818836,0.36831765466352834,13.0,19.5,9.5,1.2977713690461004,0.29019050004400465,7.5,12.0
