negative_ratio,negative_multiplier,n_runs,mean_n_train,mean_n_test,test_auroc_mean,test_auroc_sd,test_auroc_se,test_auroc_min,test_auroc_max,test_auprc_mean,test_auprc_sd,test_auprc_se,test_auprc_min,test_auprc_max,test_f1_mean,test_f1_sd,test_f1_se,test_f1_min,test_f1_max,test_precision_mean,test_precision_sd,test_precision_se,test_precision_min,test_precision_max,test_recall_mean,test_recall_sd,test_recall_se,test_recall_min,test_recall_max,n_go_selected_mean,n_go_selected_sd,n_go_selected_se,n_go_selected_min,n_go_selected_max,D_mean,D_sd,D_se,D_min,D_max
1:1,1,5,862.0,216.0,0.977,0.007,0.003,0.968,0.984,0.974,0.004,0.002,0.967,0.979,0.936,0.01,0.004,0.922,0.948,0.936,0.023,0.01,0.917,0.962,0.937,0.017,0.007,0.917,0.954,42.4,1.949,0.872,40.0,45.0,48.4,1.949,0.872,46.0,51.0
1:2,2,5,1293.0,324.0,0.979,0.005,0.002,0.972,0.984,0.948,0.012,0.005,0.928,0.96,0.915,0.017,0.007,0.901,0.941,0.907,0.019,0.008,0.877,0.928,0.922,0.021,0.01,0.898,0.954,40.4,2.881,1.288,38.0,45.0,46.4,2.881,1.288,44.0,51.0
1:3,3,5,1724.0,432.0,0.984,0.005,0.002,0.976,0.989,0.953,0.015,0.007,0.936,0.976,0.895,0.022,0.01,0.86,0.919,0.87,0.031,0.014,0.817,0.895,0.922,0.017,0.008,0.907,0.944,40.6,0.548,0.245,40.0,41.0,46.6,0.548,0.245,46.0,47.0
1:4,4,5,2155.0,540.0,0.983,0.005,0.002,0.975,0.988,0.939,0.021,0.01,0.913,0.962,0.884,0.029,0.013,0.839,0.909,0.862,0.036,0.016,0.81,0.893,0.907,0.022,0.01,0.87,0.926,38.2,1.304,0.583,37.0,40.0,44.2,1.304,0.583,43.0,46.0
1:5,5,5,2586.0,648.0,0.984,0.005,0.002,0.979,0.991,0.933,0.022,0.01,0.903,0.955,0.862,0.03,0.014,0.832,0.902,0.83,0.05,0.022,0.794,0.907,0.898,0.024,0.011,0.87,0.926,38.0,1.225,0.548,36.0,39.0,44.0,1.225,0.548,42.0,45.0
