candidate,n_runs,score_mean,score_sd,score_min,score_max,n_above_0_5,ora_significant_all,novel_any,max_overlap_fraction,closest_by_overlap,best_ora_p_adj
C1,20,0.9630347639322281,0.04866484598102247,0.814259946346283,0.9971152544021606,20,True,False,0.4117647058823529,Glutathione metabolism,1.187532720848621e-11
C2,20,0.9261357337236404,0.09425174285543053,0.6459790468215942,0.9941001534461976,20,True,False,1.0,Photosynthesis,2.1734355446356876e-26
C3,20,0.9936715304851532,0.004766974958506284,0.980818808078766,0.9990423321723938,20,True,False,1.0,Ubiquitin mediated proteolysis,2.0794218670325666e-29
C4,20,0.00101509025262197,0.0006066140979172545,0.000272524106549,0.0026366161182522,0,True,False,0.5555555555555556,Starch and sucrose metabolism,7.861010511613847e-07
