comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,negative_score_median,negative_score_iqr
All mixed negatives,108,216,0.9824674211248285,0.9705058014660373,0.9009009009009009,0.8771929824561403,0.9259259259259259,0.004201140254735947,0.001-0.025
empirical size matched random,108,54,0.997599451303155,0.9988287189980416,0.9615384615384616,1.0,0.9259259259259259,0.0009646449470892549,0.000-0.004
full replacement shuffled,108,54,0.9890260631001372,0.9941085986187979,0.9523809523809523,0.9803921568627451,0.9259259259259259,0.0020270156674087048,0.001-0.007
corrupted pathway,108,54,0.9929698216735254,0.9967703385547338,0.9615384615384616,1.0,0.9259259259259259,0.006127269007265568,0.002-0.017
cross pathway mixture,108,54,0.9502743484224965,0.9774619443395357,0.9090909090909091,0.8928571428571429,0.9259259259259259,0.05354667827486992,0.012-0.464
