seed_a,seed_b,selected_go_jaccard
1,2,0.5533980582524272
1,3,0.4423076923076923
1,4,0.4342105263157895
1,5,0.4557823129251701
1,6,0.436241610738255
1,7,0.4370860927152318
1,8,0.43790849673202614
1,9,0.4444444444444444
1,10,0.5
1,11,0.5
1,12,0.4533333333333333
1,13,0.4657534246575342
1,14,0.4503311258278146
1,15,0.4533333333333333
1,16,0.4391891891891892
1,17,0.45454545454545453
1,18,0.4230769230769231
1,19,0.4276315789473684
1,20,0.4861111111111111
2,3,0.5806451612903226
2,4,0.5761589403973509
2,5,0.5704697986577181
2,6,0.5704697986577181
2,7,0.5592105263157895
2,8,0.5584415584415584
2,9,0.5751633986928104
2,10,0.5585585585585585
2,11,0.504424778761062
2,12,0.5657894736842105
2,13,0.6027397260273972
2,14,0.5723684210526315
2,15,0.5973154362416108
2,16,0.5533333333333333
2,17,0.5652173913043478
2,18,0.5414012738853503
2,19,0.5490196078431373
2,20,0.3956043956043956
3,4,0.8819875776397516
3,5,0.845679012345679
3,6,0.8571428571428571
3,7,0.8414634146341463
3,8,0.8827160493827161
3,9,0.8888888888888888
3,10,0.5159235668789809
3,11,0.4873417721518987
3,12,0.8703703703703703
3,13,0.86875
3,14,0.8650306748466258
3,15,0.8253012048192772
3,16,0.8170731707317073
3,17,0.5705128205128205
3,18,0.8719512195121951
3,19,0.852760736196319
3,20,0.23870967741935484
4,5,0.8481012658227848
4,6,0.8961038961038961
4,7,0.84375
4,8,0.8625
4,9,0.8924050632911392
4,10,0.5298013245033113
4,11,0.5099337748344371
4,12,0.8385093167701864
4,13,0.825
4,14,0.8679245283018868
4,15,0.8271604938271605
4,16,0.8535031847133758
4,17,0.5657894736842105
4,18,0.8987341772151899
4,19,0.8670886075949367
4,20,0.2251655629139073
5,6,0.8461538461538461
5,7,0.8417721518987342
5,8,0.8726114649681529
5,9,0.8789808917197452
5,10,0.5033112582781457
5,11,0.5342465753424658
5,12,0.8364779874213837
5,13,0.8461538461538461
5,14,0.8427672955974843
5,15,0.8024691358024691
5,16,0.8758169934640523
5,17,0.5496688741721855
5,18,0.8616352201257862
5,19,0.81875
5,20,0.23129251700680273
6,7,0.8417721518987342
6,8,0.8846153846153846
6,9,0.8670886075949367
6,10,0.5337837837837838
6,11,0.5238095238095238
6,12,0.825
6,13,0.8461538461538461
6,14,0.83125
6,15,0.825
6,16,0.8636363636363636
6,17,0.581081081081081
6,18,0.85
6,19,0.8417721518987342
6,20,0.22297297297297297
7,8,0.85625
7,9,0.8509316770186336
7,10,0.5436241610738255
7,11,0.5133333333333333
7,12,0.84375
7,13,0.8417721518987342
7,14,0.85
7,15,0.8209876543209876
7,16,0.8354430379746836
7,17,0.6013513513513513
7,18,0.845679012345679
7,19,0.8260869565217391
7,20,0.2348993288590604
8,9,0.8695652173913043
8,10,0.512987012987013
8,11,0.5032679738562091
8,12,0.8395061728395061
8,13,0.8490566037735849
8,14,0.8571428571428571
8,15,0.8170731707317073
8,16,0.83125
8,17,0.5686274509803921
8,18,0.852760736196319
8,19,0.85625
8,20,0.23026315789473684
9,10,0.5294117647058824
9,11,0.5098039215686274
9,12,0.8571428571428571
9,13,0.8789808917197452
9,14,0.8987341772151899
9,15,0.8343558282208589
9,16,0.896774193548387
9,17,0.564935064935065
9,18,0.8819875776397516
9,19,0.8625
9,20,0.23684210526315788
10,11,0.5673076923076923
10,12,0.5503355704697986
10,13,0.54421768707483
10,14,0.5466666666666666
10,15,0.54
10,16,0.547945205479452
10,17,0.5871559633027523
10,18,0.5064102564102564
10,19,0.5231788079470199
10,20,0.3793103448275862
11,12,0.5
11,13,0.5033557046979866
11,14,0.506578947368421
11,15,0.5099337748344371
11,16,0.5170068027210885
11,17,0.5596330275229358
11,18,0.4967741935483871
11,19,0.48366013071895425
11,20,0.39285714285714285
12,13,0.8961038961038961
12,14,0.84472049689441
12,15,0.85
12,16,0.8535031847133758
12,17,0.5866666666666667
12,18,0.8518518518518519
12,19,0.84375
12,20,0.24161073825503357
13,14,0.8544303797468354
13,15,0.8364779874213837
13,16,0.8516129032258064
13,17,0.5918367346938775
13,18,0.85
13,19,0.8301886792452831
13,20,0.2569444444444444
14,15,0.8333333333333334
14,16,0.8481012658227848
14,17,0.5723684210526315
14,18,0.8353658536585366
14,19,0.85
14,20,0.24
15,16,0.7962962962962963
15,17,0.5555555555555556
15,18,0.7857142857142857
15,19,0.8098159509202454
15,20,0.25
16,17,0.5850340136054422
16,18,0.9032258064516129
16,19,0.8238993710691824
16,20,0.2328767123287671
17,18,0.5714285714285714
17,19,0.5490196078431373
17,20,0.3655913978494624
18,19,0.823170731707317
18,20,0.22727272727272727
19,20,0.24324324324324326
