pathway_id,pathway_name,family,source,n_genes,jaccard_mean
AC_PWY-1121,suberin monomers biosynthesis,Lipid metabolism,AraCyc,59,0.057968729633922036
AC_PWY-1187,glucosinolate biosynthesis from homomethionine,Amino acid metabolism,AraCyc,32,0.17409859981288553
AC_PWY-1722,"formate assimilation into 5,10-methylenetetrahydrofolate",Cofactor/vitamin metabolism,AraCyc,7,0.30283939138981153
AC_PWY-1741,indole-3-acetate inactivation IX,Other AraCyc,AraCyc,5,0.21669996669996666
AC_PWY-1782,superpathway of indole-3-acetate conjugate biosynthesis,Specialized/other biosynthesis,AraCyc,17,0.15395630824202253
AC_PWY-181,photorespiration I,Energy metabolism,AraCyc,23,0.14949770474297297
AC_PWY-2021,indole-3-acetate inactivation IV,Other AraCyc,AraCyc,12,0.30104016354016355
AC_PWY-2161,folate polyglutamylation,Cofactor/vitamin metabolism,AraCyc,14,0.17547546041700246
AC_PWY-2181,free phenylpropanoid acid biosynthesis,Specialized/other biosynthesis,AraCyc,9,0.1536589697371861
AC_PWY-2261,ascorbate glutathione cycle,Other AraCyc,AraCyc,15,0.191447254673988
AC_PWY-2301,myo-inositol biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.225846797394785
AC_PWY-2463,(-)-medicarpin biosynthesis,Specialized/other biosynthesis,AraCyc,9,0.26828703703703705
AC_PWY-2541,phytosterol biosynthesis (plants),Lipid metabolism,AraCyc,23,0.1332863699074014
AC_PWY-2582,brassinolide biosynthesis II,Specialized/other biosynthesis,AraCyc,7,0.29636888147978857
AC_PWY-2681,trans-zeatin biosynthesis,Specialized/other biosynthesis,AraCyc,9,0.2605820105820106
AC_PWY-282,cuticular wax biosynthesis,Lipid metabolism,AraCyc,15,0.33766854472573365
AC_PWY-2821,glucosinolate biosynthesis from phenylalanine,Amino acid metabolism,AraCyc,20,0.08604963749700592
AC_PWY-2902,cytokinin-O-glucosides biosynthesis,Specialized/other biosynthesis,AraCyc,25,0.23517997875140734
AC_PWY-3001,superpathway of L-isoleucine biosynthesis I,Amino acid metabolism,AraCyc,25,0.13450934558377087
AC_PWY-3041,monoterpene biosynthesis,Specialized/other biosynthesis,AraCyc,8,0.34825047090361105
AC_PWY-3101,flavonol biosynthesis,Specialized/other biosynthesis,AraCyc,14,0.2057155664281511
AC_PWY-321,cutin biosynthesis,Lipid metabolism,AraCyc,37,0.10559578609998778
AC_PWY-3461,L-tyrosine biosynthesis II,Amino acid metabolism,AraCyc,5,0.23800536881419238
AC_PWY-3462,L-phenylalanine biosynthesis II,Amino acid metabolism,AraCyc,10,0.3481310374447629
AC_PWY-3481,superpathway of L-phenylalanine and L-tyrosine biosynthesis,Amino acid metabolism,AraCyc,11,0.29897176946642195
AC_PWY-3561,choline biosynthesis III,Specialized/other biosynthesis,AraCyc,11,0.22299454535628493
AC_PWY-3742,tetrahydrofolate biosynthesis II,Cofactor/vitamin metabolism,AraCyc,25,0.11000501505358917
AC_PWY-3781,aerobic respiration I (cytochrome c),Energy metabolism,AraCyc,39,0.088989950598685
AC_PWY-3801,sucrose degradation II (sucrose synthase),Degradation/catabolism,AraCyc,35,0.09677330471108715
AC_PWY-3841,folate transformations II (plants),Cofactor/vitamin metabolism,AraCyc,24,0.13214422058598008
AC_PWY-3941,beta-alanine biosynthesis II,Amino acid metabolism,AraCyc,10,0.29559230892564226
AC_PWY-401,galactolipid biosynthesis I,Lipid metabolism,AraCyc,6,0.25513651802398607
AC_PWY-4041,gamma-glutamyl cycle,Other AraCyc,AraCyc,6,0.1590197628458498
AC_PWY-4081,glutathione-peroxide redox reactions,Other AraCyc,AraCyc,11,0.24992765503143746
AC_PWY-4101,D-sorbitol degradation I,Degradation/catabolism,AraCyc,18,0.20518938430086683
AC_PWY-4203,volatile benzenoid biosynthesis I (ester formation),Specialized/other biosynthesis,AraCyc,13,0.23370339230067735
AC_PWY-4221,superpathway of coenzyme A biosynthesis II (plants),Specialized/other biosynthesis,AraCyc,24,0.1391103208960352
AC_PWY-4221ARA,superpathway of pantothenate and coenzymeA biosynthesis,Cofactor/vitamin metabolism,AraCyc,15,0.18508280079708653
AC_PWY-4302,aerobic respiration III (alternative oxidase pathway),Energy metabolism,AraCyc,36,0.06000886635819555
AC_PWY-4321,L-glutamate degradation IV,Degradation/catabolism,AraCyc,9,0.3175025931766128
AC_PWY-4361,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I,Degradation/catabolism,AraCyc,8,0.2546357673237372
AC_PWY-4381,fatty acid biosynthesis initiation (type II),Lipid metabolism,AraCyc,6,0.28887907299672005
AC_PWY-4541,"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P3)",Lipid metabolism,AraCyc,8,0.33557370075174997
AC_PWY-4562,"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)",Lipid metabolism,AraCyc,12,0.25428974185869035
AC_PWY-4661,1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza),Specialized/other biosynthesis,AraCyc,14,0.20309519200411588
AC_PWY-4702,phytate degradation I,Degradation/catabolism,AraCyc,5,0.11922077922077923
AC_PWY-4765,superpathway of lipid-dependent phytate biosynthesis,Lipid metabolism,AraCyc,12,0.25428974185869035
AC_PWY-4821,UDP-alpha-D-xylose biosynthesis,Carbohydrate metabolism,AraCyc,12,0.23452921651015116
AC_PWY-4841,UDP-alpha-D-glucuronate biosynthesis (from myo-inositol),Specialized/other biosynthesis,AraCyc,7,0.27732426303854874
AC_PWY-4861,UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate),Specialized/other biosynthesis,AraCyc,5,0.33599567099567096
AC_PWY-4984,urea cycle,Other AraCyc,AraCyc,5,0.15877705627705624
AC_PWY-5004,superpathway of L-citrulline metabolism,Other AraCyc,AraCyc,46,0.09961389528011644
AC_PWY-5027,phylloquinol biosynthesis,Specialized/other biosynthesis,AraCyc,8,0.23323365185234932
AC_PWY-5035,gibberellin biosynthesis III (early C-13 hydroxylation),Specialized/other biosynthesis,AraCyc,14,0.21929709484654542
AC_PWY-5041,S-adenosyl-L-methionine salvage II,Degradation/catabolism,AraCyc,8,0.22471072374156548
AC_PWY-5044,purine nucleotides degradation I (plants),Degradation/catabolism,AraCyc,23,0.07462570342822444
AC_PWY-5046,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,Other AraCyc,AraCyc,8,0.1704838460457127
AC_PWY-5049,rosmarinic acid biosynthesis II,Specialized/other biosynthesis,AraCyc,5,0.2630769230769231
AC_PWY-5068,chlorophyll cycle,Cofactor/vitamin metabolism,AraCyc,6,0.17919413919413918
AC_PWY-5070,"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",Specialized/other biosynthesis,AraCyc,8,0.373160569589141
AC_PWY-5079,L-phenylalanine degradation III,Degradation/catabolism,AraCyc,9,0.1888940180726797
AC_PWY-5080,very long chain fatty acid biosynthesis I,Lipid metabolism,AraCyc,44,0.2032568965490143
AC_PWY-5083,NAD(P)/NADPH interconversion,Other AraCyc,AraCyc,27,0.027126841412555693
AC_PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA,Other AraCyc,AraCyc,8,0.216173845100121
AC_PWY-5097,L-lysine biosynthesis VI,Amino acid metabolism,AraCyc,15,0.28000424030292503
AC_PWY-5098,chlorophyll a degradation I,Degradation/catabolism,AraCyc,9,0.11237565002077386
AC_PWY-5120,geranylgeranyl diphosphate biosynthesis,Specialized/other biosynthesis,AraCyc,16,0.4380114953109204
AC_PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Specialized/other biosynthesis,AraCyc,29,0.2598445329139712
AC_PWY-5122,geranyl diphosphate biosynthesis,Specialized/other biosynthesis,AraCyc,15,0.612203158530005
AC_PWY-5123,"trans, trans-farnesyl diphosphate biosynthesis",Specialized/other biosynthesis,AraCyc,16,0.5522980853487267
AC_PWY-5125,anthocyanin biosynthesis,Specialized/other biosynthesis,AraCyc,14,0.15377868468527808
AC_PWY-5129,sphingolipid biosynthesis (plants),Lipid metabolism,AraCyc,17,0.14348010455153312
AC_PWY-5136,fatty acid beta-oxidation II (plant peroxisome),Lipid metabolism,AraCyc,15,0.19323670223054232
AC_PWY-5137,"fatty acid beta-oxidation III (unsaturated, odd number)",Lipid metabolism,AraCyc,5,0.3719179619007994
AC_PWY-5138,"fatty acid beta-oxidation IV (unsaturated, even number)",Lipid metabolism,AraCyc,10,0.19406364583519423
AC_PWY-5142,acyl-[acyl-carrier protein] thioesterase pathway,Other AraCyc,AraCyc,7,0.3114512471655329
AC_PWY-5143,long-chain fatty acid activation,Lipid metabolism,AraCyc,12,0.2384477779988616
AC_PWY-5147,oleate biosynthesis I (plants),Specialized/other biosynthesis,AraCyc,27,0.19561456367829805
AC_PWY-5156,superpathway of fatty acid biosynthesis II (plant),Lipid metabolism,AraCyc,47,0.10214846091809919
AC_PWY-5173,superpathway of acetyl-CoA biosynthesis,Specialized/other biosynthesis,AraCyc,19,0.1891318718629643
AC_PWY-5188,tetrapyrrole biosynthesis I (from glutamate),Amino acid metabolism,AraCyc,9,0.4048394554457506
AC_PWY-5203,soybean saponin I biosynthesis,Specialized/other biosynthesis,AraCyc,14,0.23762467691039119
AC_PWY-5267,glucosinolate activation,Specialized/other biosynthesis,AraCyc,14,0.18306911979761822
AC_PWY-5269,cardiolipin biosynthesis II,Specialized/other biosynthesis,AraCyc,5,0.2057936507936508
AC_PWY-5272,abscisic acid degradation by glucosylation,Degradation/catabolism,AraCyc,22,0.24817806532092246
AC_PWY-5320,kaempferol glycoside biosynthesis (Arabidopsis),Specialized/other biosynthesis,AraCyc,18,0.2458717461138956
AC_PWY-5321,quercetin glycoside biosynthesis (Arabidopsis),Specialized/other biosynthesis,AraCyc,38,0.26843638269113723
AC_PWY-5337,stachyose biosynthesis,Specialized/other biosynthesis,AraCyc,13,0.38160662343354645
AC_PWY-5340,sulfate activation for sulfonation,Other AraCyc,AraCyc,6,0.45580734080734076
AC_PWY-5350,thiosulfate disproportionation IV (rhodanese),Other AraCyc,AraCyc,6,0.24704184704184703
AC_PWY-5366,palmitoleate biosynthesis II (plants and bacteria),Specialized/other biosynthesis,AraCyc,6,0.2938095238095238
AC_PWY-5381,NAD salvage (plants),Degradation/catabolism,AraCyc,23,0.11482209589352445
AC_PWY-5386,methylglyoxal degradation I,Degradation/catabolism,AraCyc,11,0.1341680010579532
AC_PWY-5386-1,methylglyoxal degradation VIII,Degradation/catabolism,AraCyc,11,0.1341680010579532
AC_PWY-5390,rutin biosynthesis,Specialized/other biosynthesis,AraCyc,43,0.2213135805992949
AC_PWY-5410,traumatin and (Z)-3-hexen-1-yl acetate biosynthesis,Specialized/other biosynthesis,AraCyc,23,0.11711585614603595
AC_PWY-5453,methylglyoxal degradation III,Degradation/catabolism,AraCyc,11,0.19872914963824054
AC_PWY-5464,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",Carbohydrate metabolism,AraCyc,102,0.12050036503731483
AC_PWY-5484,glycolysis II (from fructose 6-phosphate),Carbohydrate metabolism,AraCyc,54,0.09803827604214917
AC_PWY-5486,pyruvate fermentation to ethanol II,Other AraCyc,AraCyc,5,0.4562988735402529
AC_PWY-561,superpathway of glyoxylate cycle and fatty acid degradation,Degradation/catabolism,AraCyc,46,0.06948247849218306
AC_PWY-5659,GDP-mannose biosynthesis,Carbohydrate metabolism,AraCyc,12,0.14463422658901984
AC_PWY-5661,GDP-alpha-D-glucose biosynthesis,Carbohydrate metabolism,AraCyc,13,0.23316611065688128
AC_PWY-5667,CDP-diacylglycerol biosynthesis I,Lipid metabolism,AraCyc,28,0.13213044610341604
AC_PWY-5670,epoxysqualene biosynthesis,Specialized/other biosynthesis,AraCyc,9,0.41627987344899103
AC_PWY-5687,pyrimidine ribonucleotides interconversion,Other AraCyc,AraCyc,21,0.12765041282533543
AC_PWY-5690,TCA cycle II (plants and fungi),Other AraCyc,AraCyc,35,0.14603087275744622
AC_PWY-5723,Rubisco shunt,Other AraCyc,AraCyc,36,0.16057227613749228
AC_PWY-5725,farnesene biosynthesis,Specialized/other biosynthesis,AraCyc,9,0.4688892262421674
AC_PWY-5788,indole-3-acetate inactivation V,Other AraCyc,AraCyc,12,0.30104016354016355
AC_PWY-5791,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",Specialized/other biosynthesis,AraCyc,8,0.20384651058686695
AC_PWY-5800,xylan biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.23696329096786764
AC_PWY-5807,heptaprenyl diphosphate biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.17889249639249638
AC_PWY-581,indole-3-acetate biosynthesis II,Specialized/other biosynthesis,AraCyc,34,0.1875355653950611
AC_PWY-5837,"2-carboxy-1,4-naphthoquinol biosynthesis",Specialized/other biosynthesis,AraCyc,8,0.20384651058686695
AC_PWY-5859,eugenol and isoeugenol biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.4661904761904762
AC_PWY-5864,superpathway of plastoquinol biosynthesis,Specialized/other biosynthesis,AraCyc,11,0.10636991357730839
AC_PWY-5868,simple coumarins biosynthesis,Specialized/other biosynthesis,AraCyc,25,0.07976594037849477
AC_PWY-5886,3-(4-hydroxyphenyl)pyruvate biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.2549979746160747
AC_PWY-5918,superpathway of heme b biosynthesis from glutamate,Amino acid metabolism,AraCyc,18,0.3139412601011451
AC_PWY-5934,iron reduction and absorption,Other AraCyc,AraCyc,10,0.3747798321691427
AC_PWY-5947,lutein biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.39395104895104893
AC_PWY-5957,L-nicotianamine biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.6249999999999999
AC_PWY-5963,molybdenum cofactor sulfulylation (eukaryotes),Cofactor/vitamin metabolism,AraCyc,6,0.30579710144927535
AC_PWY-5971,palmitate biosynthesis II (type II fatty acid synthase),Lipid metabolism,AraCyc,33,0.13227180456282625
AC_PWY-5973,cis-vaccenate biosynthesis,Specialized/other biosynthesis,AraCyc,20,0.07740598026312313
AC_PWY-5980,xylogalacturonan biosynthesis,Specialized/other biosynthesis,AraCyc,27,0.5512780893243079
AC_PWY-5989,stearate biosynthesis II (bacteria and plants),Specialized/other biosynthesis,AraCyc,33,0.09298021150962328
AC_PWY-5992,thalianol and derivatives biosynthesis,Specialized/other biosynthesis,AraCyc,28,0.5579605917531614
AC_PWY-6007,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II",Specialized/other biosynthesis,AraCyc,10,0.5394340227673562
AC_PWY-601,glucosinolate biosynthesis from tryptophan,Amino acid metabolism,AraCyc,36,0.16235707275180958
AC_PWY-6012,acyl carrier protein metabolism,Other AraCyc,AraCyc,10,0.2337037037037037
AC_PWY-6014,vernolate biosynthesis I,Specialized/other biosynthesis,AraCyc,8,0.4313872139764996
AC_PWY-6039,chlorogenic acid biosynthesis I,Specialized/other biosynthesis,AraCyc,28,0.09164640418619996
AC_PWY-6040,chlorogenic acid biosynthesis II,Specialized/other biosynthesis,AraCyc,21,0.10754081514105615
AC_PWY-6051,"2,4,6-trinitrotoluene degradation",Degradation/catabolism,AraCyc,8,0.29592916420647514
AC_PWY-6115,"avenacin biosynthesis, initial reactions",Specialized/other biosynthesis,AraCyc,10,0.46622100122100113
AC_PWY-6117,spermine and spermidine degradation I,Degradation/catabolism,AraCyc,9,0.2679465596132263
AC_PWY-6118,glycerol-3-phosphate shuttle,Lipid metabolism,AraCyc,5,0.376690203071782
AC_PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,Specialized/other biosynthesis,AraCyc,7,0.32981317624174766
AC_PWY-6124,inosine-5'-phosphate biosynthesis II,Specialized/other biosynthesis,AraCyc,6,0.30133940133940135
AC_PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Specialized/other biosynthesis,AraCyc,6,0.10547039017627254
AC_PWY-6163,chorismate biosynthesis from 3-dehydroquinate,Specialized/other biosynthesis,AraCyc,6,0.30664002664002665
AC_PWY-6199,quercetin sulfate biosynthesis,Specialized/other biosynthesis,AraCyc,13,0.3281005604082527
AC_PWY-621,sucrose degradation III (sucrose invertase),Degradation/catabolism,AraCyc,28,0.1426994010429485
AC_PWY-6219,indole-3-acetate inactivation VIII,Other AraCyc,AraCyc,12,0.30104016354016355
AC_PWY-622,starch biosynthesis,Carbohydrate metabolism,AraCyc,20,0.1844617141258008
AC_PWY-6266-ARA,superpathway of flavones and derivatives biosynthesis,Specialized/other biosynthesis,AraCyc,38,0.28931636834998176
AC_PWY-63,UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose),Carbohydrate metabolism,AraCyc,5,0.4538888888888889
AC_PWY-6303,methyl indole-3-acetate interconversion,Other AraCyc,AraCyc,9,0.24391126231296514
AC_PWY-6317,D-galactose degradation I (Leloir pathway),Degradation/catabolism,AraCyc,7,0.25390776357162914
AC_PWY-6348,phosphate acquisition,Other AraCyc,AraCyc,34,0.26673388780531637
AC_PWY-6351,"D-myo-inositol (1,4,5)-trisphosphate biosynthesis",Specialized/other biosynthesis,AraCyc,40,0.09397193237087087
AC_PWY-6352,3-phosphoinositide biosynthesis,Specialized/other biosynthesis,AraCyc,39,0.11483368472045033
AC_PWY-6358,"superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism",Other AraCyc,AraCyc,10,0.1841287530536645
AC_PWY-6363,"D-myo-inositol (1,4,5)-trisphosphate degradation",Degradation/catabolism,AraCyc,10,0.1841287530536645
AC_PWY-6364,"D-myo-inositol (1,3,4)-trisphosphate biosynthesis",Specialized/other biosynthesis,AraCyc,5,0.37755616605616604
AC_PWY-6367,D-myo-inositol-5-phosphate metabolism,Other AraCyc,AraCyc,10,0.396017770308276
AC_PWY-6369,inositol diphosphates biosynthesis,Specialized/other biosynthesis,AraCyc,10,0.23151245549950786
AC_PWY-641,proanthocyanidins biosynthesis from flavanols,Specialized/other biosynthesis,AraCyc,9,0.20064414751914747
AC_PWY-6441,spermine and spermidine degradation III,Degradation/catabolism,AraCyc,5,0.5474997224997226
AC_PWY-6444,"benzoate biosynthesis II (CoA-independent, non-beta-oxidative)",Specialized/other biosynthesis,AraCyc,6,0.2932363508770846
AC_PWY-6475,trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria),Specialized/other biosynthesis,AraCyc,5,0.21550976800976804
AC_PWY-6527,stachyose degradation,Degradation/catabolism,AraCyc,8,0.07968670160371841
AC_PWY-6544,superpathway of C28 brassinosteroid biosynthesis,Lipid metabolism,AraCyc,7,0.29636888147978857
AC_PWY-6546,brassinosteroids inactivation,Lipid metabolism,AraCyc,11,0.25080235124352773
AC_PWY-6549,nitrogen remobilization from senescing leaves,Other AraCyc,AraCyc,27,0.13593520546710372
AC_PWY-6554,"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",Specialized/other biosynthesis,AraCyc,12,0.25428974185869035
AC_PWY-6556,pyrimidine ribonucleosides salvage II,Degradation/catabolism,AraCyc,10,0.5206212649865901
AC_PWY-6595,superpathway of guanosine nucleotides degradation (plants),Degradation/catabolism,AraCyc,19,0.08815599977364684
AC_PWY-6596,adenosine nucleotides degradation I,Degradation/catabolism,AraCyc,21,0.1151399798458622
AC_PWY-6599,guanine and guanosine salvage II,Degradation/catabolism,AraCyc,5,0.10885705797470505
AC_PWY-6605,adenine and adenosine salvage II,Degradation/catabolism,AraCyc,9,0.2231042348031512
AC_PWY-6606,guanosine nucleotides degradation II,Degradation/catabolism,AraCyc,17,0.09420475260811394
AC_PWY-6607,guanosine nucleotides degradation I,Degradation/catabolism,AraCyc,19,0.11165921380207094
AC_PWY-6612,superpathway of tetrahydrofolate biosynthesis,Cofactor/vitamin metabolism,AraCyc,15,0.11215694976309748
AC_PWY-6613,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",Degradation/catabolism,AraCyc,5,0.3938888888888889
AC_PWY-6614,tetrahydrofolate biosynthesis I,Cofactor/vitamin metabolism,AraCyc,9,0.1581532063472208
AC_PWY-6622,heptadecane biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.1982456140350877
AC_PWY-6663,plant sterol biosynthesis II,Lipid metabolism,AraCyc,8,0.13456208455655602
AC_PWY-6691,plaunotol biosynthesis,Specialized/other biosynthesis,AraCyc,17,0.43874953670722505
AC_PWY-6710,poly-hydroxy fatty acids biosynthesis,Lipid metabolism,AraCyc,8,0.4313872139764996
AC_PWY-6717,"(1,4)-beta-D-xylan degradation",Degradation/catabolism,AraCyc,25,0.29573264749403627
AC_PWY-6724,starch degradation II,Degradation/catabolism,AraCyc,8,0.15829468933322316
AC_PWY-6733,sporopollenin precursors biosynthesis,Specialized/other biosynthesis,AraCyc,40,0.0852566937297145
AC_PWY-6745,phytochelatins biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.17396850063516733
AC_PWY-6754,S-methyl-5'-thioadenosine degradation I,Degradation/catabolism,AraCyc,6,0.32518518518518513
AC_PWY-6773,"1,3-beta-D-glucan biosynthesis",Specialized/other biosynthesis,AraCyc,14,0.3763931377912265
AC_PWY-6786,detoxification of reactive carbonyls in chloroplasts,Degradation/catabolism,AraCyc,16,0.15760738327965218
AC_PWY-6787,flavonoid biosynthesis (in equisetum),Specialized/other biosynthesis,AraCyc,35,0.11262027744889311
AC_PWY-6792,scopoletin biosynthesis,Specialized/other biosynthesis,AraCyc,11,0.1891956780593144
AC_PWY-6803,phosphatidylcholine acyl editing,Other AraCyc,AraCyc,56,0.08651261281513384
AC_PWY-6837,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",Lipid metabolism,AraCyc,10,0.2126218163281474
AC_PWY-6842,glutathione-mediated detoxification II,Degradation/catabolism,AraCyc,84,0.31040039700879557
AC_PWY-6908,thiamine diphosphate biosynthesis IV (eukaryotes),Cofactor/vitamin metabolism,AraCyc,7,0.14201023843880986
AC_PWY-6922,L-Ndelta-acetylornithine biosynthesis,Specialized/other biosynthesis,AraCyc,8,0.10445180530613764
AC_PWY-6927,chlorophyll a degradation II,Degradation/catabolism,AraCyc,13,0.09125146334749812
AC_PWY-6936,seleno-amino acid biosynthesis (plants),Amino acid metabolism,AraCyc,5,0.5950216450216451
AC_PWY-695,abscisic acid biosynthesis,Signalling/regulatory,AraCyc,10,0.17311377706114547
AC_PWY-6952,glycerophosphodiester degradation,Degradation/catabolism,AraCyc,15,0.3286037297591919
AC_PWY-699,brassinolide biosynthesis I,Specialized/other biosynthesis,AraCyc,7,0.29636888147978857
AC_PWY-702,L-methionine biosynthesis II,Amino acid metabolism,AraCyc,11,0.10273075613101146
AC_PWY-7036,very long chain fatty acid biosynthesis II,Lipid metabolism,AraCyc,24,0.12399079254304644
AC_PWY-7039,"phosphatidate metabolism, as a signaling molecule",Signalling/regulatory,AraCyc,27,0.11588152553644927
AC_PWY-7047,malate-oxaloacetate shuttle I,Other AraCyc,AraCyc,9,0.36343637460257
AC_PWY-7048,malate-oxaloacetate shuttle II,Other AraCyc,AraCyc,14,0.28905085663239527
AC_PWY-7101,5-deoxystrigol biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.2129104512618444
AC_PWY-7120,esterified suberin biosynthesis,Lipid metabolism,AraCyc,5,0.1651190476190476
AC_PWY-7140,myricetin gentiobioside biosynthesis,Specialized/other biosynthesis,AraCyc,13,0.286639090966014
AC_PWY-7176,UTP and CTP de novo biosynthesis,Specialized/other biosynthesis,AraCyc,12,0.2593724994970422
AC_PWY-7177,UTP and CTP dephosphorylation II,Other AraCyc,AraCyc,12,0.22851132453405176
AC_PWY-7184,pyrimidine deoxyribonucleotides de novo biosynthesis I,Specialized/other biosynthesis,AraCyc,6,0.2018162665221489
AC_PWY-7185,UTP and CTP dephosphorylation I,Other AraCyc,AraCyc,14,0.16371009942438516
AC_PWY-7193,pyrimidine ribonucleosides salvage I,Degradation/catabolism,AraCyc,15,0.2964622076287268
AC_PWY-7196,superpathway of pyrimidine ribonucleosides salvage,Degradation/catabolism,AraCyc,29,0.1441058203740549
AC_PWY-7199,pyrimidine deoxyribonucleosides salvage,Degradation/catabolism,AraCyc,28,0.2164550567701828
AC_PWY-7200,superpathway of pyrimidine deoxyribonucleoside salvage,Degradation/catabolism,AraCyc,32,0.16496435461274028
AC_PWY-7204,pyridoxal 5'-phosphate salvage II (plants),Degradation/catabolism,AraCyc,10,0.06700156730858485
AC_PWY-7205,CMP phosphorylation,Other AraCyc,AraCyc,5,0.34676132639290536
AC_PWY-7208,superpathway of pyrimidine nucleobases salvage,Degradation/catabolism,AraCyc,16,0.19565814201196774
AC_PWY-7211,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Specialized/other biosynthesis,AraCyc,22,0.1456792803025136
AC_PWY-7219,adenosine ribonucleotides de novo biosynthesis,Specialized/other biosynthesis,AraCyc,15,0.18203315299260725
AC_PWY-7221,guanosine ribonucleotides de novo biosynthesis,Specialized/other biosynthesis,AraCyc,7,0.17559770284925566
AC_PWY-7238,sucrose biosynthesis II,Carbohydrate metabolism,AraCyc,30,0.1147119455118096
AC_PWY-724,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",Amino acid metabolism,AraCyc,29,0.17926424702857593
AC_PWY-7298,nevadensin biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.485
AC_PWY-7343,UDP-alpha-D-glucose biosynthesis,Carbohydrate metabolism,AraCyc,10,0.17389220410598347
AC_PWY-7345,superpathway of anaerobic sucrose degradation,Degradation/catabolism,AraCyc,96,0.11442110980602671
AC_PWY-7346,UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose),Carbohydrate metabolism,AraCyc,5,0.65
AC_PWY-735,jasmonic acid biosynthesis,Signalling/regulatory,AraCyc,17,0.14462205967580335
AC_PWY-7356,thiamine diphosphate salvage IV (yeast),Degradation/catabolism,AraCyc,11,0.12223935155753335
AC_PWY-7388,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",Specialized/other biosynthesis,AraCyc,13,0.07047605486519513
AC_PWY-7398,coumarins biosynthesis (engineered),Specialized/other biosynthesis,AraCyc,25,0.09543976803514714
AC_PWY-7417,"phospholipid remodeling (phosphatidate, yeast)",Lipid metabolism,AraCyc,10,0.12683380914082665
AC_PWY-7450,anthocyanidin modification (Arabidopsis),Other AraCyc,AraCyc,22,0.3192169999312856
AC_PWY-7546,diphthamide biosynthesis II (eukaryotes),Specialized/other biosynthesis,AraCyc,5,0.1154040404040404
AC_PWY-7560,methylerythritol phosphate pathway II,Other AraCyc,AraCyc,12,0.21656505715047789
AC_PWY-7634,vernolate biosynthesis II,Specialized/other biosynthesis,AraCyc,8,0.4313872139764996
AC_PWY-7851,coenzyme A biosynthesis II (eukaryotic),Specialized/other biosynthesis,AraCyc,5,0.24895021645021648
AC_PWY-7859,jasmonoyl-L-isoleucine inactivation,Amino acid metabolism,AraCyc,12,0.16939599442941689
AC_PWY-7909,formaldehyde oxidation VII (THF pathway),Other AraCyc,AraCyc,6,0.34837477337477335
AC_PWY-7980,ATP biosynthesis,Energy metabolism,AraCyc,13,0.21069763829125518
AC_PWY-7995,tricin biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.19989317871670811
AC_PWY-801,homocysteine and cysteine interconversion,Amino acid metabolism,AraCyc,8,0.10068669650964637
AC_PWY-8011,L-serine biosynthesis II,Amino acid metabolism,AraCyc,7,0.27721517511433474
AC_PWY-8024,4-hydroxyindole-3-carbonyl nitrile biosynthesis,Specialized/other biosynthesis,AraCyc,11,0.28014616475029597
AC_PWY-8142,"L-ascorbate biosynthesis VI (plants, myo-inositol pathway)",Specialized/other biosynthesis,AraCyc,7,0.33581022152450724
AC_PWY-8148,NADP biosynthesis,Specialized/other biosynthesis,AraCyc,5,0.2875
