model,n_runs,cv_auroc_mean_mean,cv_auroc_mean_sd,cv_auroc_mean_se,cv_auroc_mean_min,cv_auroc_mean_max,cv_auprc_mean_mean,cv_auprc_mean_sd,cv_auprc_mean_se,cv_auprc_mean_min,cv_auprc_mean_max,test_auroc_mean,test_auroc_sd,test_auroc_se,test_auroc_min,test_auroc_max,test_auprc_mean,test_auprc_sd,test_auprc_se,test_auprc_min,test_auprc_max,test_f1_mean,test_f1_sd,test_f1_se,test_f1_min,test_f1_max,test_precision_mean,test_precision_sd,test_precision_se,test_precision_min,test_precision_max,test_recall_mean,test_recall_sd,test_recall_se,test_recall_min,test_recall_max,n_go_selected_mean,n_go_selected_sd,n_go_selected_se,n_go_selected_min,n_go_selected_max,D_mean,D_sd,D_se,D_min,D_max
XGBoost,20,0.9810352622428613,0.003149173975195524,0.0007041767081510428,0.9742340105296939,0.9851647008787395,0.9624273733562776,0.007971442329214297,0.0017824686926842424,0.9425849713856455,0.9741917829261926,0.9834126371742112,0.0042123515943172,0.0009419104510022876,0.9740655006858709,0.9905692729766804,0.9657240537356824,0.010263732987401285,0.0022950404662736264,0.9434663282916207,0.9815990807036852,0.9125318101696338,0.017520551966525348,0.0039177145200468295,0.8868778280542986,0.9459459459459459,0.893245491852382,0.027751505213479712,0.006205425213528045,0.8524590163934426,0.9428571428571428,0.9333333333333333,0.02094269541458477,0.0046829290579084686,0.8981481481481481,0.9722222222222222,126.0,35.87698279868086,8.022337236544104,37.0,155.0,132.0,35.87698279868086,8.022337236544104,43.0,161.0
Random Forest,20,0.9738627387362507,0.002956629873837854,0.0006611225382208069,0.9680415647551882,0.9796661658635383,0.9451056645294595,0.009132077207179063,0.0020419945411028814,0.9240599450286757,0.9613358272703957,0.976841135116598,0.005894491529553977,0.0013180483752879403,0.9613340192043895,0.9864111796982168,0.9492714272526831,0.01409337427299861,0.003151374290677157,0.9162737475849837,0.9709139515451346,0.8892107255197781,0.01580629545048828,0.0035343951099737455,0.867579908675799,0.9203539823008849,0.856725058640184,0.023350535150790316,0.005221338390816545,0.8145161290322581,0.8928571428571429,0.9250000000000002,0.02438693098187234,0.005453083543806224,0.8796296296296297,0.9629629629629629,126.0,35.87698279868086,8.022337236544104,37.0,155.0,132.0,35.87698279868086,8.022337236544104,43.0,161.0
Logistic Regression,20,0.9541769665577993,0.009170242321044091,0.002050528520000004,0.937126134582118,0.9682712812852383,0.9248551050804966,0.015121826731109083,0.003381343251473334,0.8986077037294228,0.9454848744767093,0.9614561899862826,0.00906842619737676,0.002027761742627436,0.9477451989026063,0.9768947187928669,0.930543258029027,0.016416350084540985,0.003670807473146806,0.8991154863836822,0.9524625962270796,0.8592789248249367,0.021091002890460907,0.004716091617671514,0.8245614035087719,0.9041095890410958,0.8395199934757326,0.03339832808191728,0.00746809319260072,0.7833333333333333,0.9047619047619048,0.8814814814814815,0.031877454690370746,0.007128015563733849,0.8240740740740741,0.9259259259259259,126.0,35.87698279868086,8.022337236544104,37.0,155.0,132.0,35.87698279868086,8.022337236544104,43.0,161.0
