Unnamed: 0,CV AUROC,Test AUROC,Test AUPRC,Test F1
XGBoost,0.983 +/- 0.002 SE,0.982,0.971,0.901
Random Forest,0.974 +/- 0.005 SE,0.978,0.954,0.886
Logistic Regression,0.959 +/- 0.002 SE,0.973,0.957,0.869
