k,cumulative_mi,cv_auroc_mean,cv_auroc_std
10,0.31937134247694204,0.913342841477969,0.009014103628760562
20,0.5093104114108156,0.9269728398476728,0.00894274192234021
37,0.7024379194318616,0.9422003793555849,0.015915709368646128
50,0.8006820751224399,0.9435273917607482,0.013826996903553096
70,0.9012778813458728,0.9436600253567292,0.012164801243790154
84,0.9528740898482208,0.9429244894023382,0.01353796077569842
148,1.0,0.9410029075831196,0.012115259034883362
