candidate,n_runs,score_mean,score_sd,score_min,score_max,n_above_0_5,ora_significant_all,novel_any,max_overlap_fraction,closest_by_overlap,best_ora_p_adj
C1,20,0.8774047404527664,0.09989733365615602,0.64536052942276,0.9828548431396484,20,True,False,0.4117647058823529,Glutathione metabolism,1.187532720848621e-11
C2,20,0.8234201535582543,0.14952115426737425,0.3496523797512054,0.9466744065284728,19,True,False,1.0,Photosynthesis,2.1734355446356876e-26
C3,20,0.9582218736410141,0.03447650077863338,0.8778444528579712,0.9978694915771484,20,True,False,1.0,Ubiquitin mediated proteolysis,2.0794218670325666e-29
C4,20,0.0020404700975631797,0.0018868466230087865,0.0005813805619254,0.0092817936092615,0,True,False,0.5555555555555556,Starch and sucrose metabolism,7.861010511613847e-07
