comparison,n_positive,n_negative,negative_to_positive_ratio,median_size_positive,median_size_negative,mean_size_positive,mean_size_negative,ks_statistic,ks_p_value
all_negatives,539,1078,2.0,15.0,13.0,38.03896103896104,27.851576994434136,0.09183673469387756,0.004547402028134168
empirical_size_matched_random,539,270,0.5009276437847866,15.0,14.0,38.03896103896104,40.111111111111114,0.04900020614306329,0.7560140449205716
full_replacement_shuffled,539,270,0.5009276437847866,15.0,16.0,38.03896103896104,31.274074074074075,0.05054627911770769,0.7237734591300158
corrupted_pathway,539,269,0.49907235621521334,15.0,13.0,38.03896103896104,27.197026022304833,0.054810298570256086,0.6268736410301508
cross_pathway_mixture,539,269,0.49907235621521334,15.0,9.0,38.03896103896104,12.765799256505575,0.30393610637901664,3.168233570584036e-15
