seed,candidate,n,score,max_jaccard,closest_by_jaccard,max_overlap_fraction,closest_by_overlap,ora_significant,best_ora_p_adj,novel
12,C1,17,0.9715791940689087,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
12,C2,11,0.7972851395606995,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
12,C3,14,0.990778923034668,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
12,C4,9,0.001714162528514862,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
13,C1,17,0.9410557746887207,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
13,C2,11,0.5306199789047241,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
13,C3,14,0.9307357668876648,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
13,C4,9,0.0006548351375386119,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
14,C1,17,0.9022988080978394,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
14,C2,11,0.9466744065284729,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
14,C3,14,0.977013885974884,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
14,C4,9,0.0012393260840326548,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
15,C1,17,0.8266615867614746,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
15,C2,11,0.8882173299789429,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
15,C3,14,0.9321977496147156,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
15,C4,9,0.0020526396110653877,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
16,C1,17,0.95169997215271,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
16,C2,11,0.34965237975120544,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
16,C3,14,0.925807774066925,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
16,C4,9,0.0033646258525550365,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
